"time","open","high","low","close","volume","volumeq"
"2020-09-10 23:00:00+00",10341.74,10355.37,10321.37,10343.38,1272.59,13161691
"2020-09-10 22:00:00+00",10295.34,10353.01,10286.01,10341.74,1321.98,13637135
"2020-09-10 21:00:00+00",10270.01,10333,10262.43,10295.34,2120.7,21853362
"2020-09-10 20:00:00+00",10282.61,10298.71,10250.02,10270.01,2235.04,22965906
"2020-09-10 19:00:00+00",10346.83,10373.55,10251.06,10282.61,3032.79,3.124988E+7
"2020-09-10 18:00:00+00",10335.13,10381.22,10329.85,10346.83,2025.57,20985748
"2020-09-10 17:00:00+00",10414.16,10442,10299.36,10335.13,3105.71,32156024
"2020-09-10 16:00:00+00",10365.04,10432.79,10346.37,10414.16,3211.9,3.334794E+7
"2020-09-10 15:00:00+00",10437.94,10483.35,10354.33,10365.04,5119.44,53394424
"2020-09-10 14:00:00+00",10362.04,10450,10352.8,10437.94,4183.69,43494792
"2020-09-10 13:00:00+00",10292.62,10375.92,10283.16,10362.04,2730.63,28226404
"2020-09-10 12:00:00+00",10268.09,10310,10254.35,10292.62,1450.44,14919345
"2020-09-10 11:00:00+00",10276.88,10321.2,10241,10268.09,2186.12,22489854
"2020-09-10 10:00:00+00",10265.46,10283.41,10230.31,10276.88,2317.39,2.378679E+7
"2020-09-10 09:00:00+00",10275.29,10294.19,10250.67,10265.46,1853.84,19046892
"2020-09-10 08:00:00+00",10327.73,10344.72,10251,10275.29,2422.9,2.495486E+7
"2020-09-10 07:00:00+00",10374.58,10384.92,10295.3,10327.73,2370.77,24528506
"2020-09-10 06:00:00+00",10380.1,10395.67,10354.63,10374.58,1765.4,18316924
"2020-09-10 05:00:00+00",10371.23,10418,10342.46,10380.1,2126.91,22068394
"2020-09-10 04:00:00+00",10363.36,10382,10340,10371.23,1528.16,15835484
"2020-09-10 03:00:00+00",10380.42,10409.59,10356,10363.36,2397.66,24887106
"2020-09-10 02:00:00+00",10272.89,10414.08,10252.88,10380.42,3188.83,32999426
"2020-09-10 01:00:00+00",10219.2,10324,10070.83,10272.89,2991.5,30721538
"2020-09-10 00:00:00+00",10275.99,10287.07,10169.91,10219.2,2269.75,2.319872E+7
"2020-09-09 23:00:00+00",10235.99,10280,10225,10275.99,1122.52,11514222
"2020-09-09 22:00:00+00",10251.85,10276.06,10229.08,10235.99,1275.48,1.307686E+7
"2020-09-09 21:00:00+00",10276.77,10298.1,10251.3,10251.85,1618.66,1.66301E+7
"2020-09-09 20:00:00+00",10326.38,10343,10275.43,10276.77,2400.51,24749062
"2020-09-09 19:00:00+00",10268.72,10336.7,10252.46,10326.38,2991.34,30801558
"2020-09-09 18:00:00+00",10239.64,10269.41,10213.41,10268.72,2024.53,2.07351E+7
"2020-09-09 17:00:00+00",10246.11,10265,10200,10239.64,2794.23,28580272
"2020-09-09 16:00:00+00",10234.21,10280.62,10234.21,10246.11,3172.65,32553622
